Postal District,Average Price,Date
SN14,"£368,815",20200417
SN15,"£329,452",20200417
SN16,"£450,048",20200417
SN17,,20200417
SN25,"£268,314",20200417
SN26,"£406,605",20200417
SN38,,20200417
SN42,,20200417
SN86,,20200417
SN99,,20200417
SO1,,20200417
SO2,,20200417
SO3,,20200417
SO4,,20200417
SO5,,20200417
SO9,,20200417
SO14,"£232,863",20200417
SO15,"£250,708",20200417
SO16,"£279,444",20200417
SO17,"£264,908",20200417
SO18,"£242,876",20200417
SO19,"£225,325",20200417
SO20,"£715,934",20200417
SO21,"£675,175",20200417
SO22,"£563,864",20200417
SO23,"£518,813",20200417
SO24,"£613,922",20200417
SO25,,20200417
SO30,"£334,108",20200417
SO31,"£389,882",20200417
SO32,"£518,508",20200417
SO40,"£327,715",20200417
SO41,"£518,948",20200417
SO42,"£852,581",20200417
SO43,"£617,312",20200417
SO45,"£320,746",20200417
SO50,"£309,784",20200417
SO51,"£461,496",20200417
SO52,"£336,228",20200417
SO53,"£408,256",20200417
SO97,,20200417
SP1,"£326,901",20200417
SP2,"£302,609",20200417
SP3,"£468,184",20200417
SP4,"£316,454",20200417
SP5,"£488,095",20200417
SP6,"£456,741",20200417
SP7,"£350,994",20200417
SP8,"£291,094",20200417
SP9,"£233,597",20200417
SP10,"£276,598",20200417
SP11,"£424,653",20200417
SR1,"£115,523",20200417
SR2,"£153,446",20200417
SR3,"£163,415",20200417
SR4,"£125,065",20200417
SR5,"£112,439",20200417
SR6,"£220,209",20200417
SR7,"£125,489",20200417
SR8,"£99,737",20200417
SR9,,20200417
SR43,,20200417
SR88,,20200417
SS0,"£301,573",20200417
SS1,"£345,266",20200417
SS2,"£262,546",20200417
SS3,"£324,466",20200417
SS4,"£334,120",20200417
SS5,"£413,297",20200417
SS6,"£400,038",20200417
SS7,"£375,485",20200417
SS8,"£285,941",20200417
SS9,"£387,275",20200417
SS11,"£376,042",20200417
SS12,"£347,470",20200417
SS13,"£264,182",20200417
SS14,"£246,642",20200417
SS15,"£290,160",20200417
SS16,"£321,491",20200417
SS17,"£324,133",20200417
SS22,,20200417
SS99,,20200417
ST1,"£109,307",20200417
ST2,"£137,414",20200417
ST3,"£146,207",20200417
ST4,"£147,006",20200417
ST5,"£187,065",20200417
ST6,"£120,442",20200417
ST7,"£203,143",20200417
ST8,"£192,461",20200417
ST9,"£262,495",20200417
ST10,"£225,650",20200417
ST11,"£237,977",20200417
ST12,"£311,549",20200417
ST13,"£209,183",20200417
ST14,"£249,780",20200417
ST15,"£260,470",20200417
ST16,"£193,614",20200417
ST17,"£243,141",20200417
ST18,"£330,667",20200417
ST19,"£302,485",20200417
ST20,"£302,918",20200417
ST21,"£352,600",20200417
ST55,,20200417
SW1A,"£1,672,882",20200417
SW1E,"£1,672,882",20200417
SW1H,"£1,672,882",20200417
SW1P,"£1,672,882",20200417
SW1V,"£1,672,882",20200417
SW1W,"£1,672,882",20200417
SW1X,"£1,672,882",20200417
SW1Y,"£1,672,882",20200417
SW2,"£573,306",20200417
SW3,"£2,364,635",20200417
SW4,"£806,989",20200417
SW5,"£1,231,550",20200417
SW6,"£1,185,029",20200417
SW7,"£2,377,922",20200417
SW8,"£752,728",20200417
SW9,"£548,074",20200417
SW10,"£1,646,069",20200417
SW11,"£938,190",20200417
SW12,"£891,063",20200417
SW13,"£1,616,850",20200417
SW14,"£1,076,171",20200417
SW15,"£827,796",20200417
SW16,"£525,167",20200417
SW17,"£668,246",20200417
SW18,"£815,384",20200417
SW19,"£843,932",20200417
SW20,"£793,605",20200417
SW95,,20200417
SW99,,20200417
SY1,"£204,178",20200417
SY2,"£250,214",20200417
SY3,"£279,797",20200417
SY4,"£303,805",20200417
