Postal District,Average Price,Date
CA20,"£194,464",20200417
CA21,"£216,668",20200417
CA22,"£140,206",20200417
CA23,"£139,811",20200417
CA24,"£123,199",20200417
CA25,"£149,962",20200417
CA26,"£143,779",20200417
CA27,"£240,816",20200417
CA28,"£152,001",20200417
CA95,,20200417
CA99,—,20200417
CB1,"£485,379",20200417
CB2,"£663,411",20200417
CB3,"£743,985",20200417
CB4,"£430,007",20200417
CB5,"£443,517",20200417
CB6,"£325,342",20200417
CB7,"£303,527",20200417
CB8,"£365,521",20200417
CB9,"£274,357",20200417
CB10,"£464,674",20200417
CB11,"£484,048",20200417
CB21,"£508,300",20200417
CB22,"£536,643",20200417
CB23,"£409,038",20200417
CB24,"£399,570",20200417
CB25,"£422,192",20200417
CF1,,20200417
CF2,,20200417
CF3,"£217,046",20200417
CF4,,20200417
CF5,"£255,471",20200417
CF6,,20200417
CF7,,20200417
CF8,,20200417
CF10,"£190,545",20200417
CF11,"£228,263",20200417
CF14,"£302,774",20200417
CF15,"£327,250",20200417
CF21,,20200417
CF23,"£305,464",20200417
CF24,"£206,905",20200417
CF30,,20200417
CF31,"£191,639",20200417
CF32,"£161,413",20200417
CF33,"£157,422",20200417
CF34,"£126,686",20200417
CF35,"£229,231",20200417
CF36,"£268,053",20200417
CF37,"£134,125",20200417
CF38,"£207,195",20200417
CF39,"£125,476",20200417
CF40,"£96,745",20200417
CF41,"£103,843",20200417
CF42,"£91,144",20200417
CF43,"£70,313",20200417
CF44,"£125,984",20200417
CF45,"£98,733",20200417
CF46,"£146,947",20200417
CF47,"£124,317",20200417
CF48,"£129,938",20200417
CF61,"£254,984",20200417
CF62,"£217,409",20200417
CF63,"£162,762",20200417
CF64,"£332,066",20200417
CF71,"£475,967",20200417
CF72,"£227,807",20200417
CF81,"£108,227",20200417
CF82,"£169,317",20200417
CF83,"£186,484",20200417
CF91,,20200417
CF95,,20200417
CF99,,20200417
CH1,"£215,577",20200417
CH2,"£274,314",20200417
CH3,"£326,260",20200417
CH4,"£256,298",20200417
CH5,"£173,082",20200417
CH6,"£149,825",20200417
CH7,"£216,707",20200417
CH8,"£184,658",20200417
CH25,,20200417
CH26,,20200417
CH27,,20200417
CH28,,20200417
CH29,,20200417
CH30,,20200417
CH31,,20200417
CH32,,20200417
CH33,,20200417
CH34,,20200417
CH41,"£101,573",20200417
CH42,"£136,121",20200417
CH43,"£207,106",20200417
CH44,"£118,122",20200417
CH45,"£184,618",20200417
CH46,"£163,773",20200417
CH47,"£297,707",20200417
CH48,"£390,920",20200417
CH49,"£197,157",20200417
CH60,"£418,114",20200417
CH61,"£248,721",20200417
CH62,"£179,425",20200417
CH63,"£237,878",20200417
CH64,"£318,121",20200417
CH65,"£149,159",20200417
CH66,"£202,475",20200417
CH70,,20200417
CH88,,20200417
CH99,,20200417
CM0,"£349,936",20200417
CM1,"£376,558",20200417
CM2,"£375,741",20200417
CM3,"£451,560",20200417
CM4,"£725,110",20200417
CM5,"£578,225",20200417
CM6,"£487,723",20200417
CM7,"£302,216",20200417
CM8,"£308,242",20200417
CM9,"£370,520",20200417
CM11,"£528,617",20200417
CM12,"£500,260",20200417
CM13,"£592,520",20200417
CM14,"£451,379",20200417
CM15,"£554,578",20200417
CM16,"£605,796",20200417
CM17,"£408,097",20200417
CM18,"£267,702",20200417
CM19,"£333,674",20200417
CM20,"£282,023",20200417
CM21,"£448,641",20200417
CM22,"£557,604",20200417
CM23,"£463,551",20200417
CM24,"£458,492",20200417
CM77,"£401,476",20200417
CM92,,20200417
CM98,,20200417
CM99,—,20200417
CO1,"£229,258",20200417
CO2,"£250,725",20200417
CO3,"£352,310",20200417
CO4,"£292,863",20200417
CO5,"£396,170",20200417
CO6,"£436,088",20200417
CO7,"£355,677",20200417
CO8,"£454,699",20200417
CO9,"£331,264",20200417
CO10,"£340,521",20200417
CO11,"£323,330",20200417
CO12,"£223,210",20200417
CO13,"£346,160",20200417
CO14,"£236,948",20200417
CO15,"£219,922",20200417
CO16,"£264,265",20200417
CR0,"£376,154",20200417
CR2,"£476,064",20200417
CR3,"£498,921",20200417
CR4,"£363,234",20200417
CR5,"£573,000",20200417
CR6,"£603,487",20200417
CR7,"£372,758",20200417
CR8,"£624,161",20200417
CR9,—,20200417
CR44,,20200417
CR90,,20200417
CT1,"£310,797",20200417
CT2,"£335,487",20200417
CT3,"£374,245",20200417
CT4,"£465,598",20200417
CT5,"£386,267",20200417
CT6,"£309,665",20200417
CT7,"£311,126",20200417
CT8,"£247,706",20200417
CT9,"£238,608",20200417
CT10,"£343,619",20200417
CT11,"£234,216",20200417
CT12,"£264,567",20200417
CT13,"£357,122",20200417
CT14,"£310,607",20200417
CT15,"£373,419",20200417
CT16,"£245,454",20200417
CT17,"£205,946",20200417
CT18,"£356,436",20200417
CT19,"£243,421",20200417
CT20,"£254,892",20200417
CT21,"£370,986",20200417
CT50,,20200417
CV1,"£158,008",20200417
CV2,"£172,599",20200417
CV3,"£234,265",20200417
CV4,"£282,668",20200417
CV5,"£248,130",20200417
CV6,"£172,383",20200417
CV7,"£333,942",20200417
CV8,"£399,838",20200417
CV9,"£257,608",20200417
CV10,"£183,545",20200417
CV11,"£233,224",20200417
CV12,"£195,784",20200417
CV13,"£362,186",20200417
CV21,"£211,797",20200417
CV22,"£289,902",20200417
CV23,"£354,880",20200417
CV31,"£296,170",20200417
CV32,"£398,737",20200417
CV33,"£409,183",20200417
CV34,"£324,966",20200417
CV35,"£468,050",20200417
CV36,"£427,553",20200417
CV37,"£411,492",20200417
CV47,"£353,448",20200417
CW1,"£156,717",20200417
CW2,"£199,779",20200417
CW3,"£306,340",20200417
CW4,"£361,413",20200417
CW5,"£284,861",20200417
CW6,"£443,187",20200417
CW7,"£170,589",20200417
CW8,"£261,531",20200417
CW9,"£246,048",20200417
CW10,"£211,231",20200417
CW11,"£265,958",20200417
CW12,"£265,551",20200417
CW98,,20200417
DA1,"£316,823",20200417
DA2,"£393,102",20200417
DA3,"£467,171",20200417
DA4,"£441,713",20200417
DA5,"£506,214",20200417
DA6,"£425,818",20200417
DA7,"£408,324",20200417
DA8,"£301,477",20200417
DA9,"£330,149",20200417
DA10,"£312,378",20200417
DA11,"£291,453",20200417
DA12,"£325,200",20200417
DA13,"£490,188",20200417
DA14,"£409,500",20200417
DA15,"£436,145",20200417
DA16,"£390,301",20200417
DA17,"£298,719",20200417
DA18,"£241,235",20200417
DD1,"£156,885",20200417
DD2,"£175,445",20200417
DD3,"£134,222",20200417
DD4,"£126,911",20200417
DD5,"£227,285",20200417
DD6,"£203,391",20200417
DD7,"£179,898",20200417
DD8,"£165,501",20200417
DD9,"£164,173",20200417
DD10,"£173,480",20200417
DD11,"£151,026",20200417
DE1,"£170,681",20200417
DE2,,20200417
DE3,"£260,012",20200417
DE4,"£294,775",20200417
DE5,"£188,150",20200417
DE6,"£348,972",20200417
DE7,"£171,406",20200417
DE11,"£185,912",20200417
DE12,"£255,322",20200417
DE13,"£285,696",20200417
DE14,"£151,158",20200417
DE15,"£214,826",20200417
DE21,"£193,490",20200417
DE22,"£232,738",20200417
DE23,"£194,608",20200417
DE24,"£154,895",20200417
DE45,"£422,770",20200417
DE55,"£173,560",20200417
DE56,"£265,141",20200417
DE65,"£267,916",20200417
DE72,"£284,886",20200417
DE73,"£290,013",20200417
DE74,"£278,585",20200417
DE75,"£165,993",20200417
DE99,,20200417
DG1,"£154,540",20200417
DG2,"£150,698",20200417
DG3,"£185,870",20200417
DG4,"£102,687",20200417
DG5,"£174,714",20200417
DG6,"£190,493",20200417
DG7,"£192,112",20200417
DG8,"£150,866",20200417
DG9,"£132,441",20200417
DG10,"£198,487",20200417
DG11,"£167,387",20200417
DG12,"£132,920",20200417
DG13,"£143,308",20200417
DG14,"£183,132",20200417
DG16,"£148,242",20200417
DH1,"£240,791",20200417
DH2,"£153,212",20200417
DH3,"£173,374",20200417
DH4,"£162,326",20200417
DH5,"£128,561",20200417
DH6,"£122,862",20200417
DH7,"£140,904",20200417
DH8,"£138,754",20200417
DH9,"£106,376",20200417
DH97,,20200417
DH98,,20200417
DH99,,20200417
DL1,"£120,332",20200417
DL2,"£243,434",20200417
DL3,"£170,828",20200417
DL4,"£89,436",20200417
DL5,"£147,254",20200417
DL6,"£271,390",20200417
DL7,"£271,051",20200417
DL8,"£292,290",20200417
DL9,"£146,824",20200417
DL10,"£262,120",20200417
DL11,"£338,275",20200417
DL12,"£220,169",20200417
DL13,"£164,839",20200417
DL14,"£117,414",20200417
DL15,"£122,746",20200417
DL16,"£129,104",20200417
DL17,"£99,702",20200417
DL98,,20200417
DN1,"£93,221",20200417
DN2,"£137,179",20200417
DN3,"£166,504",20200417
DN4,"£168,141",20200417
DN5,"£160,847",20200417
DN6,"£144,975",20200417
DN7,"£147,785",20200417
DN8,"£132,439",20200417
DN9,"£234,200",20200417
DN10,"£262,133",20200417
DN11,"£181,695",20200417
DN12,"£122,083",20200417
DN14,"£198,368",20200417
DN15,"£139,541",20200417
DN16,"£137,709",20200417
DN17,"£162,375",20200417
DN18,"£169,448",20200417
DN19,"£202,572",20200417
DN20,"£202,545",20200417
DN21,"£162,076",20200417
DN22,"£210,235",20200417
DN31,"£70,254",20200417
DN32,"£106,451",20200417
DN33,"£165,793",20200417
DN34,"£127,933",20200417
DN35,"£143,926",20200417
DN36,"£222,403",20200417
DN37,"£202,560",20200417
DN38,"£223,135",20200417
DN39,"£196,770",20200417
DN40,"£131,539",20200417
DN41,"£215,014",20200417
DN55,,20200417
